yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir,date
2015,7,12,23,15,70,13.4,-999,2.70811,64.4725,0.291334,0.191649,289.094,2015-07-12
2015,7,12,23,45,70,13.4,-999,2.95855,18.881,0.157269,0.136939,308.741,2015-07-12
2015,7,13,0,15,70,13.4,-999,2.48253,45.2386,0.383512,0.157492,279.057,2015-07-13
2015,7,13,0,45,70,13.4,-999,3.12305,-27.6844,0.327284,0.100155,274.771,2015-07-13
2015,7,13,1,15,70,13.4,-999,4.0581,12.2145,0.183822,0.0787095,284.742,2015-07-13
2015,7,13,1,45,70,13.4,-999,2.43408,-85.5122,0.191576,0.165769,266.181,2015-07-13
2015,7,13,2,15,70,13.4,-999,1.54383,14.7738,0.494974,0.132524,277.039,2015-07-13
2015,7,13,2,45,70,13.4,-999,2.62116,119.674,0.311159,0.15634,221.671,2015-07-13
2015,7,13,3,15,70,13.4,-999,2.69134,39.7543,0.18909,0.103254,208.311,2015-07-13
2015,7,13,3,45,70,13.4,-999,2.06481,-117.579,0.394817,0.10462,211.43,2015-07-13
2015,7,13,4,15,70,13.4,-999,1.56933,29.6626,0.162075,0.10981,213.874,2015-07-13
2015,7,13,4,45,70,13.4,-999,2.12922,23.3037,0.216034,0.14893,206.639,2015-07-13
2015,7,13,5,15,70,13.4,-999,1.69932,120.786,0.201565,0.169616,223.398,2015-07-13
2015,7,13,5,45,70,13.4,-999,1.58845,5.9288,0.108878,0.136333,217.514,2015-07-13
2015,7,13,6,15,70,13.4,-999,0.938169,-41.126,0.295861,0.121293,211.954,2015-07-13
2015,7,13,6,45,70,13.4,-999,0.51748,361.325,0.358534,0.333661,177.512,2015-07-13
2015,7,13,7,15,70,13.4,-999,1.95668,203.78,0.504934,0.229573,30.5366,2015-07-13
2015,7,13,7,45,70,13.4,-999,0.961011,-48.1712,0.182302,0.190552,30.8183,2015-07-13
2015,7,13,8,15,70,13.4,-999,1.74783,-5.16345,0.395473,0.166477,341.613,2015-07-13
2015,7,13,8,45,70,13.4,-999,2.24438,-79.99,0.591844,0.419078,347.003,2015-07-13
2015,7,13,9,15,70,13.4,-999,1.87065,-84.1208,0.56558,0.485676,0.3122,2015-07-13
2015,7,13,9,45,70,13.4,-999,0.839887,-51.6483,0.583672,0.316424,320.223,2015-07-13
2015,7,13,10,15,70,13.4,-999,1.23723,-133.405,1.40652,0.54096,266.469,2015-07-13
2015,7,13,10,45,70,13.4,-999,1.39623,-21.4235,0.297305,0.292275,315.785,2015-07-13
2015,7,13,11,15,70,13.4,-999,1.47601,-295.026,1.74813,0.4657,257.865,2015-07-13
2015,7,13,11,45,70,13.4,-999,2.76681,-73.6123,0.197275,0.16548,338.877,2015-07-13
2015,7,13,12,15,70,13.4,-999,1.50512,41.9779,0.183748,0.154611,331.702,2015-07-13
2015,7,13,12,45,70,13.4,-999,1.27052,1668.97,0.23239,0.277124,312.973,2015-07-13
2015,7,13,13,15,70,13.4,-999,2.01598,-31.0691,0.298199,0.300278,331.236,2015-07-13
2015,7,13,13,45,70,13.4,-999,1.69413,-38.2727,0.526113,0.34864,342.055,2015-07-13
2015,7,13,14,15,70,13.4,-999,1.90442,-146.262,0.454883,0.536319,33.0831,2015-07-13
